dataset,seed,quartile,method,pcc,rmse,mae,mean_disagreement,n_test
CCLE,8,1,fixed_fusion,0.7207718138733923,0.6350525377935291,0.4739379914741759,0.02264674364205476,2840
CCLE,8,2,imputer_only,0.7150329411591696,0.6685207292432501,0.48728018463326905,0.0711154059477439,2840
CCLE,8,2,ridge_only,0.7142928907211925,0.6692975171713531,0.4882330861414822,0.0711154059477439,2840
CCLE,8,2,fixed_fusion,0.7156303637802249,0.6679224787932087,0.4867159750496208,0.0711154059477439,2840
CCLE,8,3,imputer_only,0.7104935667984822,0.6803614533366246,0.4986109124138725,0.1328721205875258,2840
CCLE,8,3,ridge_only,0.712013027055427,0.6793469352367761,0.4981145954816717,0.1328721205875258,2840
CCLE,8,3,fixed_fusion,0.7140452979903023,0.6765096527221017,0.4949600091091321,0.1328721205875258,2840
CCLE,8,4,imputer_only,0.7449223461211301,0.7544684996373555,0.5401840784289523,0.2812188226760785,2840
CCLE,8,4,ridge_only,0.7345359878264395,0.7672398605949123,0.5544794789504932,0.2812188226760785,2840
CCLE,8,4,fixed_fusion,0.751313633783391,0.7457863605480514,0.5317153637624716,0.2812188226760785,2840
CCLE,9,1,imputer_only,0.7207429216506681,0.646869233168443,0.4809650725811928,0.02240729951635856,2840
CCLE,9,1,ridge_only,0.7208183756947376,0.6468086603412936,0.4807516937658747,0.02240729951635856,2840
CCLE,9,1,fixed_fusion,0.7209034505955699,0.64671063558762,0.4807292747178277,0.02240729951635856,2840
CCLE,9,2,imputer_only,0.719725329348734,0.6501394787499164,0.4852390082726422,0.06869150373263246,2840
CCLE,9,2,ridge_only,0.7205693706577947,0.6493677420353656,0.4834800418205215,0.06869150373263246,2840
CCLE,9,2,fixed_fusion,0.7210177705030921,0.6488041824003928,0.4836219159234069,0.06869150373263246,2840
CCLE,9,3,imputer_only,0.7227680991052253,0.662749726158175,0.47968680776620215,0.131203559169572,2840
CCLE,9,3,ridge_only,0.7206858501330061,0.665153143770673,0.4852054906783656,0.131203559169572,2840
CCLE,9,3,fixed_fusion,0.7247497570251603,0.6606093610554674,0.47901022724083153,0.131203559169572,2840
CCLE,9,4,imputer_only,0.7378396458683605,0.7710087628935484,0.5583697472704674,0.2830425797518946,2840
CCLE,9,4,ridge_only,0.728603250888346,0.7828314807215676,0.566922826041023,0.2830425797518946,2840
CCLE,9,4,fixed_fusion,0.7446349885244021,0.7618815755972648,0.5487347494183601,0.2830425797518946,2840
ERKAUC30,0,1,imputer_only,0.6933534936705463,0.6468072617188542,0.44229013269888545,0.029996971096753807,3635
ERKAUC30,0,1,ridge_only,0.6934289997455338,0.646722836846942,0.4427525256997893,0.029996971096753807,3635
